NumTrees,MaxNumSplits,MinLeafSize,Threshold,Accuracy,Sensitivity,Specificity,Precision,F1,AUC,TN,FP,FN,TP,TargetMet,TargetScore,AccuracyPct,SensitivityPct,SpecificityPct,PrecisionPct,F1Pct
300,30,1,0.73,0.914712153518124,0.917085427135678,0.901408450704225,0.981182795698925,0.948051948051948,0.93881378724609,64,7,33,365,0,0.96285489844013,91.4712153518124,91.7085427135678,90.1408450704225,98.1182795698925,94.8051948051948
300,30,5,0.62,0.914712153518124,0.917085427135678,0.901408450704225,0.981182795698925,0.948051948051948,0.939592327836365,64,7,33,365,0,0.96285489844013,91.4712153518124,91.7085427135678,90.1408450704225,98.1182795698925,94.8051948051948
100,10,5,0.61,0.912579957356077,0.912060301507538,0.915492957746479,0.983739837398374,0.946544980443286,0.936513553683913,65,6,35,363,0,0.960610481427449,91.2579957356077,91.2060301507538,91.5492957746479,98.3739837398374,94.6544980443286
200,10,1,0.58,0.912579957356077,0.912060301507538,0.915492957746479,0.983739837398374,0.946544980443286,0.938955340080685,65,6,35,363,0,0.960610481427449,91.2579957356077,91.2060301507538,91.5492957746479,98.3739837398374,94.6544980443286
300,10,2,0.61,0.912579957356077,0.912060301507538,0.915492957746479,0.983739837398374,0.946544980443286,0.938424516950952,65,6,35,363,0,0.960610481427449,91.2579957356077,91.2060301507538,91.5492957746479,98.3739837398374,94.6544980443286
100,10,1,0.63,0.91044776119403,0.907035175879397,0.929577464788732,0.986338797814208,0.945026178010471,0.936212753910397,66,5,37,361,0,0.958366064414768,91.044776119403,90.7035175879397,92.9577464788732,98.6338797814208,94.5026178010471
100,10,2,0.6,0.91044776119403,0.909547738693467,0.915492957746479,0.983695652173913,0.945169712793734,0.934850307877415,65,6,36,362,0,0.958366064414768,91.044776119403,90.9547738693467,91.5492957746479,98.3695652173913,94.5169712793734
100,30,1,0.73,0.91044776119403,0.912060301507538,0.901408450704225,0.981081081081081,0.9453125,0.944599759360181,64,7,35,363,0,0.958366064414768,91.044776119403,91.2060301507538,90.1408450704225,98.1081081081081,94.53125
200,10,2,0.59,0.91044776119403,0.912060301507538,0.901408450704225,0.981081081081081,0.9453125,0.939238445749876,64,7,35,363,0,0.958366064414768,91.044776119403,91.2060301507538,90.1408450704225,98.1081081081081,94.53125
300,10,5,0.61,0.91044776119403,0.907035175879397,0.929577464788732,0.986338797814208,0.945026178010471,0.93738056479581,66,5,37,361,0,0.958366064414768,91.044776119403,90.7035175879397,92.9577464788732,98.6338797814208,94.5026178010471
100,5,1,0.52,0.906183368869936,0.907035175879397,0.901408450704225,0.980978260869565,0.942558746736292,0.932426215584967,64,7,37,361,0,0.953877230389406,90.6183368869936,90.7035175879397,90.1408450704225,98.0978260869565,94.2558746736292
100,5,2,0.55,0.904051172707889,0.904522613065327,0.901408450704225,0.980926430517711,0.941176470588235,0.933877132139571,64,7,38,360,0,0.951632813376725,90.4051172707889,90.4522613065327,90.1408450704225,98.0926430517711,94.1176470588235
100,5,5,0.54,0.901918976545842,0.902010050251256,0.901408450704225,0.980874316939891,0.93979057591623,0.935168801755255,64,7,39,359,0,0.949388396364044,90.1918976545842,90.2010050251256,90.1408450704225,98.0874316939891,93.979057591623
100,30,2,0.66,0.914712153518124,0.919597989949749,0.887323943661972,0.978609625668449,0.948186528497409,0.940671668200156,63,8,32,366,0,0.949293561842382,91.4712153518124,91.9597989949749,88.7323943661972,97.8609625668449,94.8186528497409
200,5,2,0.56,0.899786780383795,0.899497487437186,0.901408450704225,0.980821917808219,0.938401048492792,0.935911954136882,64,7,40,358,0,0.946615144075344,89.9786780383795,89.9497487437186,90.1408450704225,98.0821917808219,93.8401048492792
