NumTrees,MaxNumSplits,MinLeafSize,Threshold,Accuracy,Sensitivity,Specificity,Precision,F1,AUC,TN,FP,FN,TP,TargetMet,TargetScore,AccuracyPct,SensitivityPct,SpecificityPct,PrecisionPct,F1Pct
300,25,3,0.66,0.923240938166311,0.924623115577889,0.915492957746479,0.983957219251337,0.953367875647668,0.943255007431524,65,6,30,368,0,0.971832566490854,92.3240938166311,92.462311557789,91.5492957746479,98.3957219251337,95.3367875647669
500,30,1,0.71,0.923240938166311,0.924623115577889,0.915492957746479,0.983957219251337,0.953367875647668,0.945979899497488,65,6,30,368,0,0.971832566490854,92.3240938166311,92.462311557789,91.5492957746479,98.3957219251337,95.3367875647669
100,10,5,0.57,0.923240938166311,0.92713567839196,0.901408450704225,0.981382978723404,0.953488372093023,0.946457640314247,64,7,29,369,0,0.971832566490854,92.3240938166311,92.713567839196,90.1408450704225,98.1382978723404,95.3488372093023
100,30,5,0.62,0.923240938166311,0.92713567839196,0.901408450704225,0.981382978723404,0.953488372093023,0.948333215372638,64,7,29,369,0,0.971832566490854,92.3240938166311,92.713567839196,90.1408450704225,98.1382978723404,95.3488372093023
200,30,3,0.68,0.923240938166311,0.92713567839196,0.901408450704225,0.981382978723404,0.953488372093023,0.942954207658008,64,7,29,369,0,0.971832566490854,92.3240938166311,92.713567839196,90.1408450704225,98.1382978723404,95.3488372093023
300,15,2,0.63,0.923240938166311,0.92713567839196,0.901408450704225,0.981382978723404,0.953488372093023,0.945413688159105,64,7,29,369,0,0.971832566490854,92.3240938166311,92.713567839196,90.1408450704225,98.1382978723404,95.3488372093023
300,30,5,0.61,0.923240938166311,0.92713567839196,0.901408450704225,0.981382978723404,0.953488372093023,0.947483898365065,64,7,29,369,0,0.971832566490854,92.3240938166311,92.713567839196,90.1408450704225,98.1382978723404,95.3488372093023
500,15,2,0.62,0.923240938166311,0.92713567839196,0.901408450704225,0.981382978723404,0.953488372093023,0.946599193148843,64,7,29,369,0,0.971832566490854,92.3240938166311,92.713567839196,90.1408450704225,98.1382978723404,95.3488372093023
500,20,2,0.67,0.923240938166311,0.92713567839196,0.901408450704225,0.981382978723404,0.953488372093023,0.945962205393163,64,7,29,369,0,0.971832566490854,92.3240938166311,92.713567839196,90.1408450704225,98.1382978723404,95.3488372093023
100,15,2,0.59,0.936034115138593,0.944723618090452,0.887323943661972,0.979166666666667,0.961636828644501,0.941220185434213,63,8,22,376,0,0.971421616896983,93.6034115138593,94.4723618090452,88.7323943661972,97.9166666666667,96.1636828644501
100,10,3,0.61,0.921108742004264,0.919597989949749,0.929577464788732,0.986522911051213,0.951885565669701,0.937345176587161,66,5,32,366,0,0.969588149478173,92.1108742004264,91.9597989949749,92.9577464788732,98.6522911051213,95.1885565669701
300,25,2,0.69,0.921108742004264,0.922110552763819,0.915492957746479,0.983914209115281,0.95201037613489,0.94447590062991,65,6,31,367,0,0.969588149478173,92.1108742004264,92.2110552763819,91.5492957746479,98.3914209115281,95.201037613489
500,25,3,0.67,0.921108742004264,0.922110552763819,0.915492957746479,0.983914209115281,0.95201037613489,0.940087762757449,65,6,31,367,0,0.969588149478173,92.1108742004264,92.2110552763819,91.5492957746479,98.3914209115281,95.201037613489
100,20,2,0.68,0.921108742004264,0.924623115577889,0.901408450704225,0.981333333333333,0.952134540750323,0.942069502441786,64,7,30,368,0,0.969588149478173,92.1108742004264,92.462311557789,90.1408450704225,98.1333333333333,95.2134540750323
200,20,5,0.63,0.921108742004264,0.924623115577889,0.901408450704225,0.981333333333333,0.952134540750323,0.944033548021799,64,7,30,368,0,0.969588149478173,92.1108742004264,92.462311557789,90.1408450704225,98.1333333333333,95.2134540750323
300,10,1,0.58,0.921108742004264,0.924623115577889,0.901408450704225,0.981333333333333,0.952134540750323,0.943591195413688,64,7,30,368,0,0.969588149478173,92.1108742004264,92.462311557789,90.1408450704225,98.1333333333333,95.2134540750323
300,15,3,0.61,0.921108742004264,0.924623115577889,0.901408450704225,0.981333333333333,0.952134540750323,0.943573501309364,64,7,30,368,0,0.969588149478173,92.1108742004264,92.462311557789,90.1408450704225,98.1333333333333,95.2134540750323
200,10,3,0.61,0.918976545842217,0.917085427135678,0.929577464788732,0.986486486486487,0.950520833333333,0.940653974095831,66,5,33,365,0,0.967343732465492,91.8976545842217,91.7085427135678,92.9577464788732,98.6486486486486,95.0520833333333
300,10,2,0.63,0.918976545842217,0.917085427135678,0.929577464788732,0.986486486486487,0.950520833333333,0.943343477953146,66,5,33,365,0,0.967343732465492,91.8976545842217,91.7085427135678,92.9577464788732,98.6486486486486,95.0520833333333
100,25,5,0.61,0.918976545842217,0.919597989949749,0.915492957746479,0.983870967741935,0.950649350649351,0.947696227616958,65,6,32,366,0,0.967343732465492,91.8976545842217,91.9597989949749,91.5492957746479,98.3870967741936,95.0649350649351
200,30,1,0.74,0.918976545842217,0.919597989949749,0.915492957746479,0.983870967741935,0.950649350649351,0.940777832826102,65,6,32,366,0,0.967343732465492,91.8976545842217,91.9597989949749,91.5492957746479,98.3870967741936,95.0649350649351
500,15,3,0.64,0.918976545842217,0.919597989949749,0.915492957746479,0.983870967741935,0.950649350649351,0.943891995187204,65,6,32,366,0,0.967343732465492,91.8976545842217,91.9597989949749,91.5492957746479,98.3870967741936,95.0649350649351
100,30,3,0.65,0.918976545842217,0.922110552763819,0.901408450704225,0.981283422459893,0.950777202072539,0.944829782716399,64,7,31,367,0,0.967343732465492,91.8976545842217,92.2110552763819,90.1408450704225,98.1283422459893,95.0777202072539
